id,name,host_id,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_log,reviews_minmax,price_zscore,price_log_zscore,review_activity,price_per_person,long_stay_listing,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,review_activity_ordinal
360,Denver’s Peaceful Oasis for Travel Nurses & Nomads,666,17,11,15.0,5.0,"Denver, CO",1,2,1,1,Highland,39.766414642333984,-105.0020980834961,Entire guesthouse,2,1.0,1 bath,2.0,2.0,106.35,29.0,364.0,1,0,27,57,332,186,1,0,152,3,58,6168.0,2018-08-13,2025-08-18,4.98,4.97,4.95,4.99,4.99,4.98,4.9,2017-BFN-0002177,1,1,0,0,1.94,4.67609452432479,0.10344827586206896,-0.09680501892875233,-0.6672290375900412,High,53.175,0,True,False,False,False,2
364,Lodo / RiNo LOFT  via airport train,783,17,11,15.0,6.0,"Mesa, AZ",0,1,1,1,Five Points,39.76672,-104.97906,Entire loft,3,1.0,1.5 baths,1.0,,32.35,185.0,365.0,1,23,53,83,358,87,0,0,176,0,0,0.0,2009-05-18,2016-04-26,4.85,4.78,4.81,4.95,4.96,4.65,4.71,not listed,1,1,0,0,0.42,3.507057772361633,0.04838709677419355,-0.1390200891881401,-2.1706391036477894,High,10.783333333333333,1,True,False,False,False,2
592,private,933,17,11,15.0,5.0,"Denver, CO",1,1,1,1,North Park Hill,39.75481,-104.91106,Private room in home,2,1.0,1 shared bath,,1.0,80.0,2.0,365.0,1,18,30,41,221,221,29,0,136,32,203,16240.0,2009-02-21,2026-05-30,4.9,4.81,4.62,4.95,4.96,4.84,4.88,2021-BFN-0000578,1,0,1,0,1.05,4.394449154672439,0.12291434927697442,-0.11183700678462892,-1.029431922215215,High,40.0,0,False,False,True,False,2
686,Alexandra's Queen Bed Room Long-term Rental Only,990,17,11,15.0,5.0,"Denver, CO",0,1,1,1,North Capitol Hill,39.74695,-104.97838,Private room in home,1,1.0,1 private bath,,2.0,44.27,30.0,120.0,1,6,28,58,148,252,0,0,148,2,0,0.0,2008-08-28,2025-05-14,4.77,4.75,4.8,4.86,4.91,4.87,4.82,not listed,1,0,1,0,1.16,3.8126445614478675,0.14015572858731926,-0.1322200400328441,-1.7776469637556895,High,44.27,1,False,False,True,False,2
1940,"Baker Studio Pet-friendly, Walkable, Patio",2150,17,10,9.0,7.0,"Denver, CO",1,2,1,1,Baker,39.72020510811656,-104.99749898910522,Entire guesthouse,2,1.0,1 bath,,1.0,191.72,1.0,1125.0,1,6,28,58,328,278,45,4,153,43,255,48889.0,2017-01-24,2026-06-26,4.97,4.96,4.98,4.99,4.99,4.9,4.9,2018-BFN-0002596,2,2,0,0,2.42,5.261238358306616,0.1546162402669633,-0.04810366017140189,0.08528034983734933,High,95.86,0,True,False,False,False,2
31503,Highland Park Guest House,135298,16,1,15.0,5.0,"Denver, CO",1,1,1,1,West Highland,39.76179,-105.02845,Entire guest suite,2,1.0,1 bath,1.0,1.0,94.75,4.0,1125.0,1,0,0,12,258,211,26,2,81,23,208,19708.0,2010-09-10,2026-06-13,4.9,4.9,4.98,4.95,4.98,4.89,4.88,2020-BFN-0000193,1,1,0,0,1.1,4.561740628060756,0.11735261401557286,-0.10342251642887258,-0.8142909656667818,High,47.375,0,True,False,False,False,2
154999,Midland Lofts 209: In the Heart of Downtown,460083844,4,1,4.0,1.0,"Denver, CO",0,33,1,1,CBD,39.74439,-104.98927,Entire condo,2,1.0,1 bath,1.0,1.0,101.66,30.0,1125.0,1,0,17,47,322,14,0,0,142,1,0,0.0,2011-08-04,2025-05-17,4.77,4.54,4.77,4.77,4.92,4.92,4.69,not listed,30,30,0,0,0.08,4.631422557132157,0.00778642936596218,-0.09948054162492165,-0.7246782880393737,Medium,50.83,1,True,False,False,False,1
192430,Treetop View Room East City Park 1-2 months,923646,14,10,14.0,10.0,"Denver, CO",0,1,1,1,South Park Hill,39.7435,-104.93753,Private room in rental unit,1,1.0,1 shared bath,,1.0,35.47,29.0,58.0,1,8,38,68,158,134,2,0,158,2,116,4115.0,2011-08-22,2025-11-15,4.69,4.75,4.73,4.82,4.84,4.77,4.74,not listed,1,0,1,0,0.74,3.596490004820589,0.07452725250278086,-0.1372402105501767,-2.0556270492508473,High,35.47,0,False,False,True,False,2
370209,Private room in the nest - w/bathroom,269892,15,8,10.0,11.0,"Denver, CO",1,2,1,1,Baker,39.7172,-104.99767,Private room in townhouse,4,1.0,1 private bath,,1.0,102.71,1.0,730.0,1,24,52,56,327,237,37,9,147,28,255,26191.0,2015-07-19,2026-06-27,4.99,4.99,4.95,4.96,4.99,4.93,4.95,2017-BFN-0008931,2,1,1,0,1.78,4.641598542601643,0.13181312569521692,-0.09888154400637629,-0.7115917200070245,High,25.6775,0,False,False,True,False,2
477016,Private room In the heart of Denver,10951,17,3,14.0,1.0,"Denver, CO",0,2,1,1,City Park West,39.74348,-104.97089,Private room in home,2,1.5,1.5 shared baths,,1.0,78.67,3.0,30.0,1,7,30,53,139,468,28,3,139,30,196,15419.0,2012-06-30,2026-06-21,4.88,4.85,4.82,4.93,4.91,4.88,4.86,2019-BFN-0009249,1,0,1,0,2.75,4.3778931033922746,0.26028921023359286,-0.11259573710145304,-1.0507234120738267,High,39.335,0,False,False,True,False,2
504080,Creative Haven in Artist’s Abode,2370964,14,1,14.0,1.0,"Denver, CO",1,2,1,1,Clayton,39.76574,-104.95379,Entire home,4,2.0,2 baths,2.0,2.0,214.54,3.0,60.0,1,3,22,39,39,108,8,2,39,6,56,12014.0,2012-06-19,2026-06-08,4.89,4.88,4.78,4.99,4.98,4.78,4.78,2017-BFN-0001679,1,1,0,0,0.63,5.373146507168686,0.060066740823136816,-0.03508544526168259,0.2291969864962002,High,53.635,0,True,False,False,False,2
575758,a REAL warehouse LOFT,2832150,13,11,13.0,11.0,"Denver, CO",0,1,1,1,Five Points,39.76561,-104.97945,Entire loft,4,1.0,1 bath,2.0,,25.66,180.0,180.0,1,30,60,90,365,37,0,0,183,0,0,0.0,2014-04-27,2017-01-09,4.59,4.61,4.42,4.44,4.78,4.53,4.28,not listed,1,1,0,0,0.25,3.2831643147505627,0.020578420467185762,-0.1428365597291577,-2.4585716064811693,Medium,6.415,1,True,False,False,False,1
632709,1890 townhome in popular LoHi! 2018-BFN-0009355,2157095,14,2,13.0,10.0,"Denver, CO",1,5,1,1,Highland,39.76468,-105.00883,Entire townhouse,4,2.0,2 baths,2.0,2.0,129.61,29.0,180.0,1,0,30,60,150,154,0,0,150,0,0,0.0,2013-07-14,2020-03-13,4.88,4.94,4.9,4.97,4.91,4.95,4.88,not listed,1,1,0,0,0.98,4.8722157835894295,0.08565072302558398,-0.08353579549316639,-0.41501226608885466,High,32.4025,0,True,False,False,False,2
676825,Beautiful Home in Charming Location,3440535,13,9,13.0,9.0,"Denver, CO",1,1,1,1,Stapleton,39.75706,-104.88374,Entire home,6,2.5,2.5 baths,3.0,3.0,292.75,4.0,1125.0,1,0,6,16,247,263,20,1,67,21,160,46840.0,2012-09-27,2026-05-31,4.97,4.98,5.0,4.99,4.99,4.96,4.9,2016-BFN-0007545,1,1,0,0,1.57,5.682729065458369,0.14627363737486096,0.00953132021111088,0.6273277840327408,High,48.791666666666664,0,True,False,False,False,2
715123,Neighborhood Gem! Entire Place -Stylish Platt Park,3654159,13,9,13.0,9.0,"Denver, CO",1,1,1,1,Platt Park,39.69381,-104.98364,Entire bungalow,2,1.0,1 bath,2.0,2.0,177.5,1.0,1125.0,1,2,8,24,24,204,43,6,24,41,255,45263.0,2021-03-01,2026-06-28,4.99,4.97,4.98,4.99,4.99,4.97,4.97,2021-BFN-0000478,1,1,0,0,3.14,5.184588601219693,0.11345939933259176,-0.05621579934827343,-0.01329312629318769,High,88.75,0,True,False,False,False,2
732845,"RiNo Breweries, Food, Music & Art just steps away!",3816358,13,8,13.0,8.0,"Denver, CO",1,1,1,1,Five Points,39.759,-104.98106,Entire home,8,2.5,2.5 baths,3.0,6.0,534.48,2.0,1125.0,1,11,30,52,316,217,11,1,141,16,77,41155.0,2012-10-20,2026-06-14,4.96,4.93,4.89,4.97,4.94,4.9,4.87,2017-BFN-0000827,1,1,0,0,1.3,6.283163540917697,0.1206896551724138,0.14743198147870282,1.3995013131350218,High,66.81,0,True,False,False,False,2
746298,Urban Retreat at Spruce House,3915386,13,8,13.0,8.0,"Denver, CO",0,1,1,0,Lowry Field,39.72535,-104.89616,Private room in townhouse,2,1.5,1.5 baths,,1.0,57.53,30.0,60.0,1,0,0,0,56,91,1,0,56,0,60,3452.0,2015-04-22,2026-04-19,4.97,4.96,5.0,4.98,5.0,4.93,4.93,2016-BFN-0008025,1,0,1,0,0.67,4.069539443303129,0.05061179087875417,-0.12465555582149977,-1.447273816246561,High,28.765,1,False,False,True,False,2
756594,Private lower level 2 bedroom suite,3638426,13,9,13.0,5.0,"Denver, CO",1,1,1,1,South Park Hill,39.74027,-104.91516,Entire guest suite,4,1.0,1 bath,2.0,2.0,117.5,2.0,1125.0,1,13,36,63,337,448,9,0,157,15,63,7403.0,2013-02-06,2026-05-10,4.9,4.92,4.93,4.95,4.94,4.83,4.88,2016-BFN-0008363,1,1,0,0,2.75,4.774912960575186,0.24916573971078976,-0.09044423469372297,-0.5401460938575641,High,29.375,0,True,False,False,False,2
2216969,Modern Studio,10917089,12,6,12.0,5.0,United States,1,7,1,1,Hilltop,39.7212,-104.91337,Entire rental unit,2,1.0,1 bath,,1.0,67.17,30.0,1125.0,1,4,5,5,185,172,6,0,6,6,255,17128.0,2015-10-29,2026-04-05,4.92,4.95,4.94,4.99,4.98,4.84,4.88,not listed,6,6,0,0,1.32,4.222004585374694,0.09566184649610679,-0.11915618720933087,-1.2511998870664982,High,33.585,1,True,False,False,False,2
2232323,"Cozy Cottage in the Country Club,",11393480,12,5,12.0,5.0,"Denver, CO",0,1,1,1,Country Club,39.72367,-104.96557,Entire home,5,3.0,3 baths,3.0,3.0,264.22,7.0,1125.0,1,20,50,80,355,110,5,0,175,6,70,18495.0,2014-03-26,2026-05-08,4.73,4.75,4.73,4.93,4.85,5.0,4.77,2017-BFN-0001514,1,1,0,0,0.74,5.580559670249453,0.06117908787541713,-0.006744300795650358,0.4959354245178053,High,52.84400000000001,0,True,False,False,False,2
2235726,Executive LODO Loft,11414205,12,5,3.0,5.0,"Denver, CO",0,1,1,1,Union Station,39.75393,-104.99668,Entire rental unit,2,2.0,2 baths,1.0,2.0,,30.0,365.0,,29,59,89,364,0,0,0,184,0,0,,,,,,,,,,,not listed,1,1,0,0,,,0.0,,,Low,,1,True,False,False,False,0
2239191,"Entire Home - Roomy 3BR, Victorian. Near RINO/DWTN",1239512,14,8,11.0,1.0,"Denver, CO",0,1,1,1,Clayton,39.76768,-104.9551,Entire home,6,1.0,1 bath,3.0,4.0,266.75,4.0,1125.0,1,19,49,79,354,109,6,1,174,7,48,12804.0,2015-06-01,2026-06-01,4.74,4.79,4.64,4.93,4.89,4.51,4.58,2017-BFN-0002932,1,1,0,0,0.81,5.590053709327858,0.060622914349276975,-0.005301001771917251,0.5081449926892506,High,44.458333333333336,0,True,False,False,False,2
2243316,"1 Best! 5% off 6 MO stay,Clean,Quiet,no smoking",4087056,13,7,13.0,7.0,"Denver, CO",1,5,1,1,City Park West,39.74245,-104.9681,Entire rental unit,1,1.0,1 bath,1.0,1.0,76.89,30.0,200.0,1,0,24,54,329,42,2,0,149,2,120,9227.0,2014-03-09,2026-02-08,4.81,4.86,4.88,4.83,4.88,4.93,4.67,not listed,5,5,0,0,0.28,4.355297574931857,0.02335928809788654,-0.11361118068336806,-1.0797818183884613,Medium,76.89,1,True,False,False,False,1
2267500,Quiet Highlands Cottage,7961148,12,10,12.0,5.0,"Denver, CO",1,1,1,1,West Highland,39.76567,-105.0348,Entire guest suite,2,1.0,1 bath,1.0,,,30.0,90.0,1,0,0,0,0,251,3,0,0,2,180,,2014-03-24,2026-02-01,4.9,4.91,4.88,4.93,4.94,4.98,4.9,not listed,1,1,0,0,1.68,,0.13959955506117908,,,High,,1,True,False,False,False,2
2361919,The Cloisters at Berkeley,5811115,13,2,12.0,10.0,"Denver, CO",1,4,1,1,Berkeley,39.7796,-105.03859,Entire guest suite,2,1.0,1 bath,1.0,1.0,80.41,30.0,1125.0,1,3,27,57,332,56,3,0,152,4,180,14474.0,2014-03-05,2026-05-14,4.63,4.64,4.48,4.57,4.57,4.91,4.57,not listed,4,4,0,0,0.37,4.399498115585886,0.03114571746384872,-0.11160311247643502,-1.0229388340829033,High,40.205,1,True,False,False,False,2
761858,2 Bedrooms - 2 King Size Beds (Park Hill),489506,15,2,15.0,2.0,"Denver, CO",0,3,1,1,North Park Hill,39.75132,-104.93423,Entire home,4,1.0,1 bath,2.0,2.0,394.0,1.0,1125.0,1,22,22,24,24,22,0,0,24,0,0,0.0,2013-02-26,2023-05-15,4.86,4.91,4.95,4.95,5.0,5.0,4.77,2023-BFN-0046364,2,2,0,0,0.14,5.978885764901122,0.012235817575083427,0.06729180485655696,1.00819259630231,Medium,98.5,0,True,False,False,False,1
774712,"2 ZEN! bright,warm,cozy, 5% off 6 Months,NOsmoking",4087056,13,7,13.0,7.0,"Denver, CO",1,5,1,1,City Park West,39.74245,-104.9681,Entire rental unit,1,1.0,1 bath,1.0,,72.68,29.0,186.0,1,0,0,15,290,46,4,1,108,4,232,16862.0,2012-12-14,2026-06-11,4.82,4.78,4.91,4.84,4.7,4.96,4.76,not listed,5,5,0,0,0.28,4.299731391947051,0.025583982202447165,-0.11601287589677375,-1.1512412987610652,Medium,72.68,0,True,False,False,False,1
776434,Super-comfortable Modern Home 3 Bdr -Platt Park DU,3344763,13,10,13.0,10.0,"Denver, CO",1,3,1,1,Platt Park,39.68403,-104.98296,Entire home,6,3.0,3 baths,3.0,3.0,345.33,3.0,80.0,1,2,8,9,265,116,6,3,88,3,42,14504.0,2013-01-03,2026-06-22,4.9,4.95,4.97,4.95,4.98,4.96,4.86,2023-BFN-0012138,3,3,0,0,0.71,5.847392077745725,0.06451612903225806,0.03952683905217314,0.839088474844627,High,57.555,0,True,False,False,False,2
785140,Cozy Bungalow in Quiet and Serene Neighborhood,306623,15,6,10.0,5.0,"Denver, CO",0,3,1,1,Sunnyside,39.78097,-105.01723,Entire home,4,1.0,1 bath,2.0,,82.78,29.0,180.0,1,0,0,5,95,61,0,0,95,0,0,0.0,2013-10-22,2021-10-24,4.85,4.92,4.56,4.97,4.97,4.85,4.88,2017-BFN-0001461,1,1,0,0,0.39,4.428194315518889,0.0339265850945495,-0.11025108928028976,-0.9860348139445857,High,20.695,0,True,False,False,False,2
2466830,HISTORIC COTTAGE IN BONNIE BRAE,6896064,13,0,12.0,4.0,"Denver, CO",0,2,1,1,Cory - Merrill,39.69062,-104.9548,Entire home,2,1.5,1.5 baths,1.0,1.0,209.52,29.0,1125.0,1,28,58,88,363,12,0,0,183,0,0,0.0,2016-06-17,2024-07-14,5.0,5.0,4.83,4.83,5.0,5.0,4.92,2018-BFN-0005028,1,1,0,0,0.1,5.349580660485579,0.006674082313681868,-0.037949224352251856,0.19889072704023267,Medium,104.76,0,True,False,False,False,1
2467260,parkside5280,11000035,12,5,12.0,2.0,"Denver, CO",1,1,1,1,City Park,39.74241,-104.95097,Entire guest suite,4,1.0,1 bath,2.0,2.0,193.83,29.0,1125.0,1,0,4,26,202,698,44,2,117,51,255,49427.0,2014-05-05,2026-06-13,4.95,4.95,4.92,4.98,4.99,4.95,4.9,2018-BFN-0008030,1,1,0,0,4.72,5.2721273834577955,0.3882091212458287,-0.04689996019508691,0.09928390446841469,High,48.4575,0,True,False,False,False,2
2487185,Beautifully remodeled-Just Minutes from Downtown!,4706233,13,5,12.0,1.0,"Denver, CO",1,2,1,1,Athmar Park,39.7038,-105.0116,Entire home,4,1.0,1 bath,3.0,4.0,259.67,3.0,1125.0,1,4,14,32,283,38,8,0,103,11,56,14542.0,2018-04-12,2025-12-21,4.87,4.84,4.89,4.95,4.95,4.82,4.84,2026-BFN-0011193,2,2,0,0,0.38,5.563255239519225,0.021134593993325918,-0.009339957142680287,0.47368150024764294,Medium,64.9175,0,True,False,False,False,1
2599115,Cozy Eastbridge Home walk to everything!,10128382,12,7,12.0,3.0,"Colorado, United States",0,1,1,1,Stapleton,39.75778,-104.85861,Entire home,6,2.5,2.5 baths,3.0,3.0,301.33,3.0,730.0,1,14,42,68,343,235,4,1,163,6,28,8437.0,2014-04-22,2026-06-04,4.83,4.85,4.73,4.94,4.82,4.88,4.79,2017-BFN-0001227,1,1,0,0,1.58,5.711519136027923,0.13070077864293658,0.014425986465510153,0.6643525241224735,High,50.221666666666664,0,True,False,False,False,2
2817786,Private Queen Room w Ensuite Bath,14414164,12,2,12.0,2.0,"Denver, CO",0,1,1,1,Five Points,39.74687,-104.97561,Private room in home,2,1.0,1 private bath,,1.0,81.48,30.0,90.0,1,30,60,90,365,146,0,0,185,0,0,0.0,2014-05-19,2023-08-20,4.96,4.99,4.99,4.99,4.95,4.87,4.93,not listed,1,0,1,0,0.99,4.412555839708705,0.08120133481646273,-0.11099270537944116,-1.006146279141338,High,40.74,1,False,False,True,False,2
2875696,Cozy Condo • Park View • Near Lowry,14699024,12,2,12.0,1.0,"Denver, CO",0,1,1,1,Windsor,39.7082405090332,-104.89041137695312,Entire condo,2,1.0,1 bath,1.0,,,180.0,1125.0,1,0,0,0,159,15,0,0,0,0,0,,2014-07-01,2024-12-15,4.67,4.8,4.6,5.0,4.87,4.6,4.67,not listed,1,1,0,0,0.1,,0.008342602892102336,,,Medium,,1,True,False,False,False,1
2957097,Close to Downtown - Hot Tub - Beautifully Remodel,4706233,13,5,12.0,1.0,"Denver, CO",1,2,1,1,Athmar Park,39.70304,-105.01177,Entire home,4,1.0,1 bath,3.0,4.0,260.0,3.0,1125.0,1,4,14,32,283,193,4,0,103,3,28,7280.0,2014-06-15,2026-05-09,4.86,4.79,4.94,4.95,4.94,4.77,4.79,2026-BFN-0011193,2,2,0,0,1.32,5.564520407322694,0.10734149054505006,-0.009151700748280324,0.47530853721443916,High,65.0,0,True,False,False,False,2
915016,Cozy Capitol Hill Accommodation,4911774,13,5,13.0,4.0,"Denver, CO",1,1,1,1,Capitol Hill,39.73572,-104.97795,Entire home,3,1.0,1 bath,1.0,2.0,64.95,30.0,120.0,1,1,3,4,244,337,4,0,64,4,240,15588.0,2013-06-11,2026-04-10,4.91,4.97,4.93,4.94,4.95,4.91,4.91,2020-BFN-0000493,1,1,0,0,2.12,4.188896879163323,0.18743047830923248,-0.12042263931711251,-1.293777212970642,High,21.650000000000002,1,True,False,False,False,2
921485,Stylish & Historic LoHi Loft w/ Views and Parking,3378084,13,10,13.0,4.0,"Denver, CO",1,3,1,1,Highland,39.75838,-105.01479,Entire loft,2,1.0,1 bath,1.0,,119.49,29.0,1125.0,1,4,6,36,98,77,5,0,98,3,255,30470.0,2013-04-02,2026-05-31,4.86,4.91,4.78,4.95,4.96,4.93,4.76,not listed,2,2,0,0,0.48,4.791566761935185,0.04282536151279199,-0.08930899158809888,-0.518728894987894,High,59.745,0,True,False,False,False,2
953052,Congress Park Cottage,5173501,13,4,13.0,4.0,"Denver, CO",0,1,1,1,Congress Park,39.7325,-104.94919,Entire bungalow,3,1.0,1 bath,2.0,3.0,122.42,30.0,120.0,1,28,58,88,363,3,0,0,183,0,0,0.0,2016-05-31,2023-06-18,5.0,5.0,5.0,5.0,5.0,5.0,4.67,not listed,1,1,0,0,0.02,4.815593172892921,0.001668520578420467,-0.08763750299539609,-0.4878303385272503,Low,40.806666666666665,1,True,False,False,False,0
2960513,Historic 1800s townhome 10-min walk Denver Health,2544705,14,0,12.0,8.0,"Denver, CO",0,1,1,1,Baker,39.72287,-104.995,Entire townhouse,3,1.0,1 bath,2.0,3.0,90.06,31.0,1125.0,1,11,25,55,235,106,4,1,150,3,248,22335.0,2017-03-13,2026-06-14,4.94,4.92,4.94,4.99,5.0,4.8,4.72,2017-BFN-0000613,1,1,0,0,0.94,4.511518629906636,0.058954393770856504,-0.10609803912504188,-0.8788776926757006,High,30.02,1,True,False,False,False,2
2975710,Sloan's Lake Highlands Bungalow,15178224,12,1,12.0,0.0,"Denver, CO",1,1,1,1,West Highland,39.75936,-105.04792,Entire home,6,2.0,2 baths,3.0,4.0,161.0,30.0,1125.0,1,0,0,27,302,43,2,0,122,4,120,19320.0,2014-08-02,2025-09-08,4.81,4.9,4.83,5.0,4.93,4.93,4.86,not listed,1,1,0,0,0.3,5.087596335232384,0.023915461624026697,-0.06562861906827205,-0.13802757007367508,Medium,26.833333333333332,1,True,False,False,False,1
3138055,Classic Home on Capitol Hill,15933305,12,1,8.0,0.0,"Denver, CO",0,2,1,1,Capitol Hill,39.73193,-104.97878,Entire home,4,1.0,1.5 baths,2.0,,,29.0,45.0,1,0,0,0,0,31,0,0,0,0,0,,2018-07-08,2023-09-22,5.0,4.9,4.94,4.97,4.9,5.0,5.0,2018-BFN-0004864,2,2,0,0,0.32,,0.017241379310344827,,,Medium,,0,True,False,False,False,1
3150813,"RiNo Urban Oasis | Fire Pit, Grill, Outdoor Lounge",135470,16,0,12.0,7.0,"Denver, CO",0,1,1,1,Cole,39.77101,-104.96639,Entire home,12,2.0,2 baths,2.0,8.0,624.0,1.0,1125.0,1,22,52,82,344,257,4,1,177,4,28,17472.0,2014-06-28,2026-06-12,4.89,4.89,4.76,4.95,4.96,4.58,4.68,2017-BFN-0001617,1,1,0,0,1.76,6.437751649736401,0.14293659621802002,0.19850080701411352,1.5983054298581156,High,52.0,0,True,False,False,False,2
3280778,Art Deco Boho close to everything!,16581953,12,0,4.0,9.0,"Denver, CO",1,3,1,1,Athmar Park,39.70719,-105.01878,Entire home,6,1.0,2 baths,3.0,,,29.0,180.0,1,0,0,0,0,63,0,0,0,0,0,,2021-11-19,2024-11-21,4.79,4.76,4.78,4.92,4.9,4.62,4.69,2021-BFN-0008876,1,1,0,0,1.12,,0.035038932146829814,,,High,,0,True,False,False,False,2
3334447,"Gorgeous 2 BR, 2 BA Townhome!",16835411,12,0,12.0,0.0,"Denver, CO",0,1,1,1,Five Points,39.75049,-104.97555,Entire home,5,1.0,2 baths,2.0,,,29.0,365.0,1,0,0,0,0,168,0,0,0,0,0,,2014-07-08,2024-01-01,4.91,4.95,4.89,4.97,4.98,4.87,4.86,2019-BFN-0011425,1,1,0,0,1.15,,0.09343715239154617,,,High,,0,True,False,False,False,2
3338717,Basement apartment on the park.,16853725,12,0,12.0,0.0,"Denver, CO",1,2,1,1,Rosedale,39.67652,-104.97801,Entire rental unit,2,1.0,1 bath,1.0,2.0,66.08,29.0,1125.0,1,7,7,7,250,270,20,0,70,33,255,16850.0,2014-06-24,2026-04-01,4.9,4.87,4.84,4.98,4.95,4.97,4.82,2016-BFN-0007960,2,2,0,0,1.85,4.205885936955008,0.15016685205784205,-0.11977800378477323,-1.2719288660696877,High,33.04,0,True,False,False,False,2
3341556,1BD City Park Carriage House,16865529,12,0,12.0,0.0,"Denver, CO",1,2,1,1,City Park West,39.74972,-104.97222,Entire guesthouse,2,1.0,1 bath,1.0,1.0,82.7,30.0,365.0,1,0,18,48,323,36,1,0,143,1,60,4962.0,2014-08-31,2025-11-18,4.89,4.94,4.83,5.0,4.97,4.81,4.89,not listed,2,2,0,0,0.25,4.4272389774954295,0.020022246941045607,-0.1102967271940837,-0.9872634021806223,Medium,41.35,1,True,False,False,False,1
958612,"Downtown Denver Retreat Mountain Views, Pool, Gym",5216325,13,4,13.0,4.0,United States,0,30,1,1,CBD,39.74646,-104.99688,Entire condo,3,2.0,2 baths,1.0,1.0,124.41,29.0,1125.0,1,0,0,0,180,13,0,0,0,1,0,0.0,2014-04-28,2025-06-28,4.77,4.85,4.85,4.77,4.77,4.92,4.67,not listed,6,6,0,0,0.09,4.831588369835958,0.007230255839822024,-0.08650225988977203,-0.46726012116466037,Medium,41.47,0,True,False,False,False,1
1041934,"Private apt in Berkeley, MTN Views!",5811115,13,2,12.0,10.0,"Denver, CO",1,4,1,1,Berkeley,39.78027,-105.03808,Entire guest suite,4,1.0,1 bath,2.0,3.0,98.06,30.0,1125.0,1,28,29,29,209,41,1,0,29,1,60,5884.0,2013-08-18,2025-09-21,4.9,4.88,4.73,4.95,4.98,4.95,4.93,not listed,4,4,0,0,0.26,4.595725727160092,0.022803114571746386,-0.1015342477456486,-0.7705852908912788,Medium,24.515,1,True,False,False,False,1
1042331,Beautiful Apt in Berkeley/Highlands,5811115,13,2,12.0,10.0,"Denver, CO",1,4,1,1,Berkeley,39.77983,-105.03936,Entire guest suite,3,1.0,1 bath,1.0,3.0,120.9,30.0,365.0,1,30,60,90,365,54,2,0,185,2,120,14508.0,2013-04-27,2026-03-03,4.74,4.8,4.52,4.93,4.91,4.93,4.81,not listed,4,4,0,0,0.34,4.803201036487226,0.030033370411568408,-0.08850462335748081,-0.5037669312656705,High,40.300000000000004,1,True,False,False,False,2
3458369,Carriage House-Highlands Square,12969161,12,3,11.0,11.0,"Denver, CO",0,1,1,1,West Highland,39.76178,-105.03885,Entire guest suite,2,1.0,1 bath,1.0,,97.62,30.0,90.0,1,0,0,0,30,255,0,0,0,0,0,0.0,2014-07-15,2021-05-08,4.94,4.96,4.96,4.97,4.98,4.97,4.88,not listed,1,1,0,0,1.75,4.59127408079598,0.1418242491657397,-0.10178525627151525,-0.7763102177963538,High,48.81,1,True,False,False,False,2
3542624,"Mod Downtown Perfection, 3BD w/ Patio, Fast WIFI",17833434,11,11,11.0,11.0,"Denver, CO",1,1,1,1,Lincoln Park,39.73248,-104.99906,Entire home,6,2.0,2 baths,3.0,3.0,299.48,29.0,365.0,1,15,45,75,264,202,16,1,84,27,255,76367.0,2014-08-25,2026-06-07,4.81,4.84,4.76,4.93,4.95,4.68,4.68,2020-BFN-0001541,1,1,0,0,1.4,5.705381196019898,0.11234705228031146,0.01337060970902548,0.6564589820439827,High,49.913333333333334,0,True,False,False,False,2
3605358,Historic Mansion - Room and Bath,18168193,11,11,11.0,11.0,"Denver, CO",1,1,1,1,Capitol Hill,39.73308,-104.97996,Private room in home,2,1.0,1 private bath,,1.0,160.0,2.0,30.0,1,22,48,78,353,287,18,3,173,19,126,20160.0,2014-07-29,2026-06-14,4.94,4.93,4.95,4.93,4.95,4.98,4.87,2019-BFN-0009791,1,0,1,0,1.98,5.081404364984463,0.1596218020022247,-0.0661990929906962,-0.14599059637188266,High,80.0,0,False,False,True,False,2
3891080,Charming vintage Five Points apt,20134025,11,10,3.0,4.0,"Denver, CO",1,2,1,1,Five Points,39.75229,-104.97978,Entire home,2,1.0,1 bath,1.0,2.0,189.5,2.0,1125.0,1,4,8,11,92,123,27,4,92,33,189,35816.0,2023-03-02,2026-06-24,4.95,4.92,4.94,4.88,4.89,4.76,4.92,2022-BFN-0020462,1,1,0,0,3.03,5.249652194566756,0.06840934371523916,-0.049370112279183524,0.07038025780495778,High,94.75,0,True,False,False,False,2
