id,name,host_id,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_log,reviews_minmax,price_zscore,price_log_zscore,review_activity,price_per_person,long_stay_listing,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,review_activity_ordinal
1339474836219094373,Stocked Kitchen | Fenced Yard |Ping Pong|Bunk Beds,128764865,9,1,6.0,5.0,"Denver, CO",1,23,1,1,Overland,39.67326153611882,-104.98775084928954,Entire home,7,2.0,2 baths,3.0,4.0,326.5,2.0,365.0,1,5,16,41,316,51,33,2,136,39,231,75422.0,2025-01-29,2026-06-15,4.94,4.98,5.0,5.0,5.0,4.88,4.88,2024-BFN-0048119,5,5,0,0,2.95,5.791488055075306,0.02836484983314794,0.02878481509292624,0.7671945243125428,High,46.642857142857146,0,True,False,False,False,2
1339978177611620496,"Sunny Penthouse on Cheeseman Park w/ Sauna, Garage",661490610,1,7,1.0,7.0,"Denver, CO",1,9,1,1,Cheesman Park,39.738698,-104.9663165,Entire rental unit,4,1.0,2 baths,2.0,,,180.0,365.0,1,0,0,0,150,0,0,0,0,0,0,,,,,,,,,,,not listed,5,5,0,0,,,0.0,,,Low,,1,True,False,False,False,0
1340069784037503827,Perrywinkle House,76820993,10,0,1.0,5.0,"Denver, CO",0,1,1,1,Berkeley,39.77505923355203,-105.03780715041306,Entire home,3,1.0,1 bath,2.0,2.0,118.73,30.0,365.0,1,0,0,0,149,0,0,0,0,0,0,0.0,,,,,,,,,,not listed,1,1,0,0,,4.785239207728752,0.0,-0.08974255176914124,-0.526866285597301,Low,39.57666666666667,1,True,False,False,False,0
1340578416106905460,Trendy 1BR w/Office & Wellness Rm l Sunnyside,362003189,5,10,3.0,2.0,"Denver, CO",1,8,1,1,Sunnyside,39.77234181442487,-105.01467300340046,Entire home,2,1.0,1 bath,1.0,1.0,404.0,2.0,1125.0,1,11,32,58,148,32,21,2,148,21,147,59388.0,2025-03-03,2026-06-13,5.0,5.0,4.97,5.0,5.0,5.0,4.88,2025-BFN-0000660,6,6,0,0,1.98,6.003887067106539,0.017797552836484983,0.07299654408079856,1.040344886927096,Medium,202.0,0,True,False,False,False,1
1340761090609432785,Restful Home in Denver,424008895,4,9,4.0,7.0,"Denver, CO",1,3,1,1,Speer,39.72082,-104.98348,Entire home,6,2.0,2 baths,3.0,3.0,127.91,29.0,90.0,1,0,0,0,180,0,0,0,0,0,0,0.0,,,,,,,,,,not listed,2,2,0,0,,4.859114486455013,0.0,-0.08450560116128747,-0.4318608569968982,Low,21.31833333333333,0,True,False,False,False,0
1341612799339850924,Sunny ranch house,11370124,12,5,1.0,3.0,"Denver, CO",0,1,1,1,Virginia Village,39.69382,-104.92167,Entire home,7,2.0,2 baths,4.0,4.0,,30.0,30.0,,23,53,83,173,0,0,0,173,0,0,,,,,,,,,,,not listed,1,1,0,0,,,0.0,,,Low,,1,True,False,False,False,0
1342251068020666082,Denver City Retreat,424008895,4,9,4.0,7.0,"Denver, CO",1,3,1,1,Speer,39.7218494,-104.9840534,Entire guesthouse,4,1.0,2 baths,2.0,2.0,119.33,29.0,90.0,1,0,28,58,333,2,2,0,153,2,116,13842.0,2025-08-09,2025-11-09,5.0,5.0,5.0,5.0,5.0,5.0,4.5,not listed,2,2,0,0,0.18,4.7902379684500715,0.0011123470522803114,-0.08940026741568677,-0.5204377561489107,Low,29.8325,0,True,False,False,False,0
1314523202533798659,J302-cute one bed Rose Medical,452537929,4,2,4.0,1.0,,0,44,1,1,Hale,39.73119976141256,-104.93307774206896,Entire rental unit,2,1.0,1 bath,1.0,,,30.0,366.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,not listed,15,15,0,0,,,0.0,,,Low,,1,True,False,False,False,0
1315237539233138725,"2BR Suite, Fast Wi-Fi, Desk, By Denver & Red Rocks",409510498,5,0,1.0,6.0,"Denver, CO",1,3,1,1,Harvey Park,39.67667,-105.06206,Entire home,4,1.0,1 bath,2.0,2.0,,29.0,365.0,1,3,14,44,47,36,30,0,47,35,255,,2025-02-01,2026-04-14,4.92,4.92,4.86,5.0,5.0,4.67,4.86,2024-BFN-0048138,2,1,1,0,2.1,,0.020022246941045607,,,Medium,,0,True,False,False,False,1
1315363938617073421,Luxury townhome,7303514,12,11,1.0,5.0,"Bellingham, WA",0,1,1,1,Virginia Village,39.67861615042105,-104.91715984073385,Entire home,4,2.5,2.5 baths,3.0,4.0,,30.0,365.0,,0,0,0,239,0,0,0,59,0,0,,,,,,,,,,,not listed,1,1,0,0,,,0.0,,,Low,,1,True,False,False,False,0
